elapsed_ms,active_workers
11,2
23,6
35,8
47,8
58,8
70,8
81,8
94,8
104,8
116,8
127,8
139,8
151,8
162,8
174,8
185,8
195,8
206,8
216,8
227,8
239,8
249,8
260,8
270,8
281,8
303,8
323,8
348,8
363,8
379,8
389,8
399,8
410,8
421,8
431,8
442,8
452,8
464,8
474,8
485,8
496,8
506,8
519,8
530,8
540,8
551,8
561,8
573,8
584,8
596,8
606,8
618,8
628,8
639,8
650,8
660,8
670,8
682,8
692,8
702,8
712,8
723,8
733,8
744,8
756,8
766,8
778,8
789,8
800,8
811,8
822,8
832,8
843,8
855,8
865,8
875,8
886,8
896,8
907,8
917,8
927,8
939,8
951,8
962,8
973,8
985,8
996,8
1008,8
1018,8
1029,8
1039,8
1051,8
1061,8
1072,8
1083,8
1093,8
1104,8
1114,8
1124,8
1137,8
1148,8
1158,8
1168,8
1179,8
1189,8
1201,8
1212,8
1222,8
1235,8
1246,8
1257,8
1268,8
1278,8
1290,8
1301,8
1312,8
1324,8
1336,8
1346,8
1357,8
1367,8
1378,8
1389,8
1400,8
1412,8
1422,8
1433,8
1443,8
1454,8
1465,8
1476,8
1488,8
1498,8
1508,8
1519,8
1531,8
1541,8
1552,8
1563,8
1573,8
1584,8
1595,8
1606,8
1616,8
1626,8
1638,8
1649,8
1661,8
1673,8
1683,8
1693,8
1704,8
1714,8
1724,8
1735,8
1747,8
1757,8
1767,8
1779,8
1791,8
1801,8
1812,8
1824,8
1836,8
1846,8
1857,8
1867,8
1878,8
1888,8
1899,8
1909,8
1921,8
1931,8
1941,8
1953,8
1964,8
1974,8
1985,8
1997,8
2007,8
2018,8
2030,8
2040,8
2051,8
2063,8
2075,8
2086,8
2099,8
2111,8
2121,8
2132,8
2142,8
2155,8
2165,8
2175,8
2185,8
2197,8
2207,8
2219,8
2230,8
2240,8
2253,8
2265,8
2275,8
2286,8
2297,8
2309,8
2320,8
2330,8
2341,8
2352,8
2363,8
2374,8
2385,8
2395,8
2406,8
2417,8
2427,8
2439,8
2452,8
2463,8
2473,8
2484,8
2495,8
2506,8
2516,8
2527,8
2539,8
2552,8
2562,8
2574,8
2586,8
2598,8
2608,8
2620,8
2631,8
2641,8
2652,8
2663,8
2673,8
2685,8
2697,8
2707,8
2717,8
2728,8
2739,8
2750,8
2761,8
2773,8
2784,8
2796,8
2807,8
2817,8
2827,8
2839,8
2849,8
2860,8
2871,8
2882,8
2893,8
2904,8
2916,8
2928,8
2940,8
2952,8
2963,8
2973,8
2984,8
2995,8
3006,8
3017,8
3027,8
3037,8
3048,8
3058,8
3069,8
3080,8
3090,8
3103,8
3114,8
3124,8
3136,8
3147,8
3158,8
3171,8
3181,8
3191,8
3203,8
3213,8
3223,8
3236,8
3260,8
3295,8
3326,8
3337,8
3350,8
3361,8
3373,8
3384,8
3394,8
3406,8
3417,8
3427,8
3439,8
3450,8
3460,8
3471,8
3481,8
3493,8
3505,8
3515,8
3525,8
3536,8
3547,8
3557,8
3569,8
3579,8
3590,8
3600,8
3611,8
3622,8
3634,8
3644,8
3656,8
3668,8
3679,8
3690,8
3701,8
3713,8
