elapsed_ms,active_workers
10,2
20,5
31,8
43,8
55,8
67,8
78,8
90,8
101,8
113,8
123,8
134,8
144,8
156,8
167,8
177,8
190,8
200,8
210,8
223,8
233,8
243,8
253,8
264,8
275,8
285,8
296,8
307,8
317,8
329,8
340,8
351,8
361,8
371,8
382,8
393,8
404,8
415,8
426,8
436,8
447,8
457,8
469,8
480,8
491,8
503,8
513,8
523,8
534,8
545,8
555,8
565,8
575,8
586,8
596,8
607,8
617,8
628,8
639,8
650,8
660,8
671,8
681,8
691,8
701,8
712,8
722,8
734,8
744,8
754,8
765,8
777,8
788,8
800,8
810,8
821,8
831,8
842,8
853,8
863,8
873,8
884,8
895,8
906,8
916,8
926,8
937,8
948,8
958,8
969,8
979,8
991,8
1002,8
1013,8
1023,8
1034,8
1044,8
1055,8
1065,8
1075,8
1086,8
1096,8
1109,8
1120,8
1131,8
1142,8
1152,8
1163,8
1173,8
1184,8
1194,8
1205,8
1215,8
1226,8
1237,8
1247,8
1257,8
1268,8
1278,8
1288,8
1299,8
1310,8
1321,8
1331,8
1341,8
1352,8
1362,8
1372,8
1383,8
1394,8
1404,8
1416,8
1426,8
1438,8
1448,8
1458,8
1470,8
1480,8
1491,8
1501,8
1511,8
1521,8
1533,8
1543,8
1554,8
1565,8
1575,8
1585,8
1596,8
1606,8
1616,8
1626,8
1637,8
1647,8
1657,8
1668,8
1679,8
1691,8
1701,8
1711,8
1721,8
1733,8
1743,8
1754,8
1764,8
1774,8
1786,8
1811,8
1850,8
1861,8
1876,8
1887,8
1898,8
1908,8
1918,8
1928,8
1940,8
1951,8
1961,8
1971,8
1983,8
1996,8
2007,8
2018,8
2029,8
2039,8
2051,8
2062,8
2072,8
2083,8
2093,8
2103,8
2113,8
2125,8
2136,8
2147,8
2157,8
2168,8
2178,8
2188,8
2198,8
2208,8
2219,8
2229,8
2240,8
2251,8
2262,8
2273,8
2285,8
2295,8
2305,8
2317,8
2327,8
2337,8
2348,8
2359,8
2371,8
2381,8
2393,8
2404,8
2414,8
2426,8
2437,8
2449,8
2460,8
2470,8
2481,8
2493,8
2504,8
2517,8
2528,8
2538,8
2549,8
2561,8
2571,8
2583,8
2595,8
2606,8
2618,8
2630,8
2642,8
2653,8
2664,8
2676,8
2687,8
2698,8
2710,8
2722,8
2733,8
2745,8
